Run_ID,Final_N3
1,95
2,35
3,42
4,23
5,4
6,72
7,140
8,14
9,50
10,57
11,7
12,12
13,77
14,12
15,125
16,45
17,61
18,3
19,72
20,11
21,2
22,5
23,17
24,6
25,1
26,76
27,46
28,85
29,12
30,97
31,10
32,36
33,42
34,31
35,6
36,192
37,33
38,10
39,45
40,155
41,58
42,51
43,74
44,47
45,6
46,11
47,1
48,8
49,45
50,3
51,22
52,1
53,32
54,55
55,40
56,76
57,11
58,19
59,28
60,80
61,34
62,70
63,80
64,11
65,19
66,30
67,5
68,16
69,32
70,22
71,27
72,22
73,11
74,15
75,12
76,111
77,20
78,22
79,13
80,6
81,104
82,10
83,7
84,46
85,73
86,114
87,10
88,9
89,38
90,62
91,206
92,52
93,4
94,54
95,5
96,35
97,71
98,130
99,76
100,101
101,35
102,120
103,3
104,28
105,119
106,13
107,13
108,87
109,16
110,18
111,7
112,35
113,9
114,78
115,5
116,6
117,17
118,1
119,15
120,142
121,145
122,45
123,37
124,1
125,6
126,83
127,76
128,151
129,89
130,130
131,15
132,27
133,51
134,4
135,16
136,4
137,83
138,44
139,14
140,25
141,49
142,76
143,15
144,11
145,1
146,8
147,105
148,84
149,83
150,34
151,76
152,21
153,21
154,141
155,72
156,64
157,38
158,9
159,19
160,48
161,9
162,44
163,1
164,31
165,1
166,104
167,152
168,5
169,41
170,1
171,10
172,40
173,76
174,63
175,159
176,93
177,8
178,49
179,16
180,112
181,41
182,12
183,71
184,25
185,1
186,20
187,6
188,86
189,168
190,15
191,41
192,19
193,4
194,14
195,81
196,13
197,7
198,17
199,112
200,4
201,28
202,18
203,62
204,6
205,34
206,86
207,91
208,26
209,11
210,24
211,63
212,55
213,16
214,23
215,11
216,25
217,36
218,88
219,77
220,45
221,18
222,1
223,10
224,10
225,51
226,124
227,66
228,41
229,6
230,5
231,105
232,11
233,86
234,178
235,10
236,45
237,46
238,96
239,5
240,36
241,55
242,4
243,15
244,53
245,17
246,1
247,13
248,16
249,107
250,82
251,6
252,45
253,167
254,23
255,13
256,49
257,77
258,27
259,42
260,39
261,6
262,89
263,20
264,89
265,157
266,10
267,74
268,66
269,75
270,61
271,32
272,1
273,76
274,69
275,52
276,100
277,154
278,11
279,19
280,85
281,15
282,35
283,71
284,1
285,46
286,106
287,40
288,124
289,28
290,51
291,6
292,69
293,45
294,5
295,28
296,78
297,22
298,19
299,1
300,3
301,98
302,15
303,24
304,19
305,1
306,23
307,41
308,7
309,148
310,11
311,1
312,10
313,34
314,16
315,79
316,91
317,8
318,12
319,8
320,7
321,69
322,16
323,11
