Run,Final_N3,Steps_Taken
1,10,6
2,106,37
3,44,17
4,30,10
5,10,3
6,3,2
7,5,2
8,40,18
9,1,1
10,59,22
11,34,9
12,18,6
13,55,17
14,77,28
15,59,21
16,51,18
17,74,28
18,44,18
19,15,6
20,124,46
21,59,22
22,56,25
23,29,12
24,12,4
25,83,24
26,4,2
27,38,14
28,12,5
29,89,35
30,131,42
31,25,10
32,47,21
33,91,33
34,137,49
35,37,13
36,57,21
37,29,13
38,28,10
39,14,7
40,7,4
41,13,6
42,40,19
43,31,8
44,7,3
45,32,11
46,39,18
47,49,23
48,1,1
49,1,1
50,7,3
51,3,2
52,24,10
53,14,7
54,44,17
55,133,46
56,9,4
57,23,7
58,50,20
59,128,53
60,66,24
61,28,11
62,75,25
63,11,5
64,11,5
65,31,10
66,1,1
67,39,13
68,79,28
69,11,4
70,1,1
71,39,14
72,35,15
73,17,5
74,18,9
75,124,47
76,37,13
77,47,15
78,41,14
79,19,8
80,50,17
81,123,45
82,94,36
83,10,3
84,31,12
85,20,9
86,54,17
87,28,8
88,111,41
89,120,42
90,5,2
91,34,12
92,14,6
93,1,1
94,47,17
95,45,18
96,17,6
97,21,7
98,11,5
99,55,21
100,25,9
101,40,11
102,39,13
103,22,10
104,1,1
105,50,21
106,21,9
107,67,22
108,83,25
109,3,2
110,40,15
111,19,7
112,33,13
113,5,4
114,81,27
115,104,33
116,16,7
117,5,3
118,59,19
119,88,33
120,45,15
121,91,41
122,126,45
123,106,33
124,49,19
125,35,13
126,1,1
127,18,7
128,3,2
129,63,19
130,4,2
131,18,7
132,99,34
133,58,23
134,9,5
135,123,42
136,2,2
137,66,22
138,145,49
139,62,21
140,118,46
141,36,9
142,39,12
143,9,3
144,28,9
145,16,7
146,81,30
147,73,25
148,50,20
149,1,1
150,26,10
151,12,7
152,42,18
153,30,12
154,8,4
155,79,30
156,49,20
157,19,9
158,61,25
159,1,1
160,111,43
161,107,40
162,56,16
163,10,4
164,2,2
165,40,15
166,13,6
167,1,1
168,29,13
169,2,2
170,1,1
171,9,3
172,13,6
173,8,4
174,1,1
175,62,23
176,146,51
177,91,36
178,9,3
179,11,4
180,52,18
181,79,30
182,19,5
183,1,1
184,123,42
185,19,6
186,33,12
187,142,53
188,9,3
189,10,5
190,38,17
191,18,7
192,77,35
193,36,17
194,20,5
195,129,46
196,34,13
197,1,1
198,16,7
199,43,16
200,22,7
