N_approx,model,mean_n3,std_n3,median_n3,min_n3,max_n3
40,T = 1/ln(N),22.92,14.40533234604464,23.0,1,56
40,T = 0.200000000000000,2.03,1.4996999699939986,1.0,1,9
80,T = 1/ln(N),33.69,25.66308438204574,29.0,1,118
80,T = 0.200000000000000,6.32,6.2815284764140005,4.0,1,36
160,T = 1/ln(N),35.43,33.17898581934053,24.5,1,137
160,T = 0.200000000000000,55.37,44.07758046898672,42.0,1,178
320,T = 1/ln(N),43.21,44.59580585660494,26.0,1,229
320,T = 0.200000000000000,325.29,107.42339549651184,349.0,53,569
640,T = 1/ln(N),41.02,43.30911682313552,30.0,1,242
640,T = 0.200000000000000,1025.39,107.9610943812631,1031.0,627,1190
800,T = 1/ln(N),37.0,37.99973684119404,23.5,1,211
800,T = 0.200000000000000,1357.03,82.28200957682061,1364.5,1183,1522
