Run_ID,Final_N3
1,12
2,63
3,48
4,38
5,51
6,110
7,20
8,4
9,15
10,14
11,37
12,30
13,109
14,78
15,50
16,96
17,41
18,21
19,52
20,1
21,1
22,6
23,31
24,6
25,1
26,75
27,14
28,8
29,219
30,49
31,45
32,108
33,16
34,33
35,133
36,25
37,47
38,29
39,64
40,23
41,55
42,48
43,63
44,85
45,16
46,26
47,33
48,67
49,84
50,202
51,45
52,57
53,19
54,21
55,43
56,115
57,185
58,29
59,14
60,3
61,68
62,210
63,1
64,190
65,33
66,7
67,137
68,76
69,1
70,43
71,128
72,3
73,100
74,4
75,13
76,32
77,3
78,19
79,1
80,131
81,18
82,7
83,7
84,29
85,45
86,18
87,150
88,138
89,20
90,125
91,41
92,50
93,35
94,87
95,157
96,12
97,131
98,31
99,15
100,68
101,36
102,51
103,91
104,27
105,71
106,50
107,83
108,7
109,55
110,41
111,46
112,82
113,44
114,61
115,26
116,5
117,18
118,12
119,123
120,6
121,43
122,39
123,7
124,51
125,4
126,64
127,2
128,59
129,19
130,43
131,12
132,6
133,107
134,8
135,45
136,14
137,6
138,11
139,73
140,184
141,28
142,1
143,20
144,6
145,5
146,26
147,5
148,1
149,35
150,153
151,21
152,22
153,16
154,104
155,6
156,6
157,53
158,31
159,4
160,12
161,102
162,5
163,21
164,11
165,7
166,15
167,37
168,45
169,6
170,68
171,95
172,59
173,21
174,1
175,7
176,134
177,23
178,59
179,73
180,7
181,78
182,56
183,47
184,66
185,10
186,28
187,71
188,58
189,28
190,76
191,25
192,36
193,8
194,5
195,103
196,96
197,11
198,36
199,130
200,29
201,84
202,15
203,12
204,75
205,1
206,21
207,97
208,6
209,1
210,18
211,56
212,5
213,12
214,121
215,27
216,8
217,21
218,5
219,114
220,78
221,27
222,13
223,154
224,113
225,16
226,27
227,36
228,125
229,90
230,32
231,47
232,7
233,77
234,135
235,41
236,25
237,155
238,39
239,70
240,211
241,7
242,39
243,6
244,121
245,37
246,4
247,7
248,107
249,4
250,17
251,1
252,7
253,27
254,68
255,59
256,1
257,1
258,1
259,55
260,20
261,56
262,139
263,11
264,12
265,1
266,17
267,15
268,73
269,8
270,24
271,108
272,6
273,5
274,14
275,179
276,35
277,2
278,3
279,7
280,54
281,143
282,16
283,16
284,5
285,51
286,96
287,43
288,11
289,5
290,42
291,60
292,10
293,16
294,111
295,7
296,4
297,65
298,55
299,87
300,45
301,5
302,60
303,4
304,28
305,46
306,41
307,26
308,56
309,15
310,31
311,84
312,56
313,38
314,39
315,32
316,105
317,146
318,22
319,14
320,26
321,18
322,32
323,3
324,39
325,1
326,12
327,56
328,31
329,45
330,28
331,5
332,49
333,38
334,86
335,33
336,1
337,41
338,4
339,62
340,4
341,36
342,15
343,40
344,37
345,28
346,27
347,3
348,94
349,30
350,19
351,72
352,4
353,101
354,84
355,22
356,7
357,13
358,57
359,13
360,124
361,5
362,49
363,133
364,1
365,1
366,10
367,18
368,23
369,48
370,6
371,70
372,32
373,22
374,71
375,134
376,13
377,35
378,2
379,52
380,5
381,127
382,3
383,1
384,3
385,1
386,22
387,26
388,1
389,65
390,10
391,46
392,115
393,21
394,57
395,47
396,48
397,57
398,6
399,26
400,2
401,23
402,16
403,1
404,40
405,5
406,40
407,27
408,1
409,1
410,8
411,11
412,141
413,19
414,182
415,151
416,37
417,40
418,1
419,24
420,125
421,7
422,32
423,38
424,14
425,27
426,62
427,8
428,22
429,1
430,30
431,7
432,18
433,218
434,13
435,36
436,81
437,38
438,15
439,38
440,5
441,57
442,1
443,12
444,107
445,35
446,59
447,34
448,201
449,40
450,7
451,69
452,50
453,3
454,79
455,4
456,14
457,45
458,131
459,6
460,6
461,10
462,6
463,50
464,76
465,47
466,30
467,12
468,132
469,26
470,46
471,88
472,32
473,76
474,79
475,25
476,57
477,1
478,20
479,29
480,38
481,60
482,60
483,2
484,28
485,27
486,102
487,3
488,5
489,148
490,26
491,9
492,46
493,22
494,16
495,5
496,44
497,15
498,71
499,29
500,33
501,24
502,193
503,62
504,2
505,120
506,14
507,33
508,1
509,36
510,15
511,30
512,65
513,55
514,125
515,70
516,94
517,48
518,11
519,5
520,17
521,26
522,16
523,15
524,10
525,4
526,1
527,8
528,7
529,8
530,64
531,129
532,43
533,20
534,143
535,46
536,36
537,6
538,27
539,18
540,107
541,3
542,1
543,42
544,6
545,42
546,30
547,82
548,17
549,201
550,4
551,44
552,47
553,101
554,61
555,8
556,51
557,92
558,39
559,15
560,22
561,67
562,6
563,11
564,42
565,8
566,9
567,11
568,96
569,133
570,8
571,72
572,33
573,16
574,49
575,23
576,43
577,12
578,35
579,54
580,15
581,87
582,7
583,59
584,118
585,18
586,14
587,1
588,92
589,66
590,20
591,20
592,66
593,134
594,18
595,3
596,67
597,132
598,3
599,22
600,3
601,110
602,7
603,85
604,11
605,98
606,34
607,11
608,86
609,1
610,23
611,224
612,1
613,72
614,3
615,64
616,21
617,13
618,1
619,27
620,9
621,41
622,17
623,18
624,1
625,95
626,68
627,9
