Run,Final_N3,Steps_Taken
1,1,1
2,82,26
3,57,16
4,45,16
5,1,1
6,30,12
7,21,8
8,19,9
9,45,19
10,7,2
11,126,43
12,1,1
13,25,7
14,72,22
15,3,2
16,10,5
17,12,4
18,15,6
19,59,21
20,12,6
21,28,12
22,47,19
23,42,17
24,23,7
25,17,8
26,69,25
27,3,2
28,82,28
29,66,19
30,11,5
31,5,3
32,106,33
33,4,2
34,12,7
35,7,3
36,25,10
37,53,18
38,4,2
39,67,22
40,28,11
41,21,8
42,107,35
43,20,7
44,8,5
45,50,15
46,50,22
47,1,1
48,3,2
49,69,19
50,72,26
51,31,10
52,75,32
53,10,4
54,18,6
55,15,5
56,3,2
57,1,1
58,23,9
59,14,7
60,4,2
61,11,4
62,21,6
63,119,45
64,12,6
65,7,3
66,47,17
67,20,8
68,24,7
69,16,6
70,42,13
71,56,23
72,21,6
73,24,8
74,14,6
75,23,11
76,119,35
77,21,7
78,36,15
79,9,3
80,4,2
81,9,4
82,44,17
83,23,10
84,124,34
85,69,21
86,22,10
87,62,22
88,5,3
89,29,12
90,1,1
91,9,4
92,22,9
93,56,20
94,19,8
95,19,7
96,1,1
97,83,26
98,2,2
99,78,26
100,22,8
101,67,24
102,106,32
103,102,41
104,13,5
105,27,11
106,15,7
107,63,23
108,23,8
109,1,1
110,93,35
111,62,24
112,32,10
113,42,17
114,13,4
115,1,1
116,23,9
117,7,3
118,60,21
119,88,34
120,121,44
121,52,17
122,27,12
123,23,10
124,9,5
125,32,10
126,1,1
127,21,7
128,74,25
129,61,22
130,13,5
131,8,4
132,1,1
133,70,24
134,7,3
135,8,4
136,1,1
137,1,1
138,32,12
139,81,29
140,14,7
141,137,47
142,17,8
143,53,16
144,41,13
145,14,6
146,72,26
147,65,23
148,18,9
149,14,9
150,15,6
151,26,11
152,63,24
153,23,7
154,1,1
155,6,3
156,91,33
157,144,48
158,188,72
159,90,30
160,64,23
161,40,17
162,178,58
163,5,3
164,28,12
165,13,6
166,37,14
167,61,20
168,62,24
169,43,19
170,17,7
171,34,13
172,21,7
173,9,5
174,35,14
175,3,2
176,93,32
177,4,2
178,115,38
179,174,61
180,44,14
181,9,3
182,11,6
183,47,17
184,83,29
185,52,19
186,97,35
187,67,26
188,79,25
189,21,6
190,6,3
191,22,11
192,1,1
193,112,39
194,1,1
195,20,7
196,17,5
197,1,1
198,105,32
199,21,12
200,203,70
