"{Depth : 3, Coord : 3, Nodes : 22, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.45454545454545453, Theoretical_Limit : 0.5}"
"{Depth : 4, Coord : 3, Nodes : 46, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.4782608695652174, Theoretical_Limit : 0.5}"
"{Depth : 5, Coord : 3, Nodes : 94, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.48936170212765956, Theoretical_Limit : 0.5}"
"{Depth : 6, Coord : 3, Nodes : 190, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.49473684210526314, Theoretical_Limit : 0.5}"
"{Depth : 7, Coord : 3, Nodes : 382, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.4973821989528796, Theoretical_Limit : 0.5}"
"{Depth : 8, Coord : 3, Nodes : 766, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.49869451697127937, Theoretical_Limit : 0.5}"
"{Depth : 9, Coord : 3, Nodes : 1534, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.49934810951760106, Theoretical_Limit : 0.5}"
"{Depth : 10, Coord : 3, Nodes : 3070, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.4996742671009772, Theoretical_Limit : 0.5}"
"{Depth : 11, Coord : 3, Nodes : 6142, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.49983718658417453, Theoretical_Limit : 0.5}"
"{Depth : 12, Coord : 3, Nodes : 12286, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.49991860654403386, Theoretical_Limit : 0.5}"
"{Depth : 5, Coord : 4, Nodes : 485, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.3319587628865979, Theoretical_Limit : 0.3333333333333333}"
"{Depth : 5, Coord : 5, Nodes : 1706, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.24970691676436108, Theoretical_Limit : 0.25}"
"{Depth : 5, Coord : 6, Nodes : 4687, Girth : -DirectedInfinity-, b_Regular_Fraction : 0.19991465756347343, Theoretical_Limit : 0.2}"
